list	list_title	list_source	name	iso	status	detail	candidates	in_catalog	in_mixer_map
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	ex-Nuclear Trans New Guinea-7 (Engan)		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Sepik / Ndu / Walio		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Greater Kwerba / Tor-Orya		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Nimboran / Kapauri / Border		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Elseng		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	North Halmahera		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Yale		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	ex-Dibiyaso-Doso-Turumsa-2 (Doso-Turumsa)		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Kwomtari		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	ex-Nuclear Trans New Guinea-8 (Mek)		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	ex-Morehead-Wasur-1 (Yey, Nambu)		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Hatam-Mansim		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Mor		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Pahoturi / Eastern Trans-Fly		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	ex-Nuclear Trans New Guinea-9 (Kainantu-Goroka)		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Yareban / Mailuan		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Dem		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	ex-Nuclear Trans New Guinea-10 (Southern Adelbert)		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	ex-Nuclear Trans New Guinea-11 (Dani)		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	ex-Nuclear Trans New Guinea-12 (Wissel Lakes)		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Koiarian		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Kaki Ae		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Mawes		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Bulaka River		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Molof		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Yuat-Maramba		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Kaure-Narau		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Tirio		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Kayagar		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Suki-Gogodala / Waia / Kiwaian		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	ex-Nuclear Trans New Guinea-13 (Binanderean + Kowan)		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Fasu-East Kutubu		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Pawaia-Teberan		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Turama-Kikori		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	North Bougainville		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Eleman		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Mairasi		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Touo		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	ex-Kwalean-1 (Humene-Uare)		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Tanahmerah		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Savosavo		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Bilua		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Manubaran		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Kuot		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Burmeso		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Amto-Musan / Left May / Busa		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	ex-Sentanic-1 (Sowari)		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	ex-Lower Sepik-Ramu-1 (Ap Ma)		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	Taiap		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	ex-Sko-1 (Isaka-Skou-Vanimo-Wutung; Dusur-Leitre)		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	ex-Lower Sepik-Ramu-2 (Nor-Pondo)		unmatched	No iso provided and name did not match any catalog entry		false	false
